buy_ts uid revenue
01.06.2016 4259681203 17
01.06.2016 779283844 0.55
01.06.2016 3701945751 0.55
01.06.2016 2518268180 11.73
01.06.2016 369652828 5.38
01.06.2016 2508128517 0.37
01.06.2016 4292974239 6.72
01.06.2016 3557221090 2.44
01.06.2016 474082632 0.37
01.06.2016 654326732 7.33
01.06.2016 136435112 31.78
01.06.2016 2175468529 6.11
01.06.2016 3073492903 0.18
01.06.2016 794400162 1.83
01.06.2016 837886272 3.3
01.06.2016 452729971 0.37
01.06.2016 2596831855 1.22
01.06.2016 2308673262 5.87
01.06.2016 848758612 0.49
01.06.2016 1340790074 3.12
01.06.2016 2454470808 2.2
01.06.2016 1984935496 2.81
01.06.2016 3557221090 1.16
01.06.2016 1554923987 4.64
01.06.2016 2459578094 0.61
01.06.2016 3768953694 0.55
01.06.2016 2174476486 6.11
01.06.2016 1509498489 3.05
01.06.2016 3127612199 1.71
01.06.2016 3728286989 60.5
01.06.2016 2112222480 1.22
01.06.2016 699001151 2.08
01.06.2016 3382318864 1.83
01.06.2016 1522567104 9.78
01.06.2016 307553958 7.33
01.06.2016 2913147848 4.15
01.06.2016 4240770739 1.67
01.06.2016 3960426662 3.73
01.06.2016 2052738180 3.48
01.06.2016 3713066287 0.49
01.06.2016 379307300 1.83
01.06.2016 2408455269 10
01.06.2016 907945937 0.37
01.06.2016 699001151 4.15
01.06.2016 3162543159 1.65
01.06.2016 980996667 4.58
01.06.2016 1125013256 0.73
01.06.2016 3633879915 4.89
01.06.2016 364003612 1.22
01.06.2016 953973215 6.72
01.06.2016 4226972411 1.34
01.06.2016 3864637321 0.18
01.06.2016 3273973216 1.47
01.06.2016 3124970519 0.24
01.06.2016 3124970519 0.73
01.06.2016 699001151 2.08
01.06.2016 1068660652 4.28
01.06.2016 191318254 0.37
01.06.2016 618084432 0.24
01.06.2016 860119023 2.2
01.06.2016 3557221090 1.1
01.06.2016 729144749 24.81
01.06.2016 2923203730 2.2
01.06.2016 188649563 9.17
01.06.2016 1431923274 3.3
01.06.2016 3760354159 1.53
01.06.2016 1431923274 3.3
01.06.2016 3555980631 0.37
01.06.2016 903281351 0.55
01.06.2016 3807475282 2.08
01.06.2016 1725935983 0.37
01.06.2016 2099010086 0.24
01.06.2016 3659913981 4.89
01.06.2016 411116726 110
01.06.2016 350862726 11
01.06.2016 4084773101 2.69
01.06.2016 543090437 4.89
01.06.2016 218334244 2.2
01.06.2016 3946282496 0.55
01.06.2016 3693428481 9.17
01.06.2016 3196439906 2.81
01.06.2016 2922254447 2.44
01.06.2016 2682503374 0.92
01.06.2016 1725935983 0.37
01.06.2016 2602647196 2.69
01.06.2016 3833247587 1.95
01.06.2016 899517475 14.67
01.06.2016 771868424 2.32
01.06.2016 1984689039 2.14
01.06.2016 2133601664 3.3
01.06.2016 2486069921 3.3
01.06.2016 265675362 1.1
01.06.2016 3509262837 1.1
01.06.2016 1919380244 3.48
01.06.2016 3551566338 0.37
01.06.2016 3509262837 1.16
01.06.2016 3450699027 0.18
01.06.2016 2778354135 3.67
01.06.2016 794752363 4.64
01.06.2016 711128688 0.18
01.06.2016 1507494092 3.05
01.06.2016 75465024 2.81
01.06.2016 75465024 1.4
01.06.2016 521033894 4.64
01.06.2016 4028030336 20.78
01.06.2016 623985850 0.24
01.06.2016 1806391929 0.73
01.06.2016 2801933423 0.37
01.06.2016 2565989317 2.44
01.06.2016 878081951 0.55
01.06.2016 1548498937 3.54
01.06.2016 2485900897 0.92
01.06.2016 4205188236 2.44
01.06.2016 1384017474 4.89
01.06.2016 3427585380 2.44
01.06.2016 285619259 0.49
01.06.2016 2774078470 0.73
01.06.2016 3882956719 0.37
01.06.2016 1953493428 0.98
01.06.2016 1465030641 3.42
01.06.2016 1507494092 3.05
01.06.2016 618302817 7.33
01.06.2016 907576906 0.61
01.06.2016 815947985 3.67
01.06.2016 3997210000 1.22
01.06.2016 3699333173 0.61
01.06.2016 2385646477 3.48
01.06.2016 2364224506 7.33
01.06.2016 1969339457 1.83
01.06.2016 4084730701 0.37
01.06.2016 1193705814 0.24
01.06.2016 926943632 3.05
01.06.2016 314788937 3.3
01.06.2016 1344078227 2.44
01.06.2016 31675448 3.67
01.06.2016 3294159937 7.94
01.06.2016 2870204632 0.15
01.06.2016 2260331259 5.38
01.06.2016 4277940017 0.85
01.06.2016 3178991364 2.2
01.06.2016 2364224506 7.33
01.06.2016 62144247 6.72
01.06.2016 1852729250 0.55
01.06.2016 1769402900 9.78
01.06.2016 2523058148 0.98
01.06.2016 3418368536 0.24
01.06.2016 825707664 0.98
01.06.2016 2636918622 4.15
01.06.2016 3153441750 2.75
01.06.2016 3094042603 3.42
01.06.2016 3894326361 4.28
01.06.2016 1693402185 5.8
01.06.2016 182397822 1.47
01.06.2016 3557221090 0.76
01.06.2016 2504615908 18.33
01.06.2016 3699333173 0.61
01.06.2016 797523655 2.2
01.06.2016 3263912973 0.37
